seed,policy,agent_id,baseline_access_group,baseline_smartphone_access,baseline_digital_access,baseline_family_assistance,policy_smartphone_access,policy_digital_access,policy_family_assistance,community_phone_proxy,newly_digital,newly_assisted
55,D3_universal_elder_digital_access,47,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D3_universal_elder_digital_access,48,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
55,D3_universal_elder_digital_access,49,elder_baseline_nondigital_assisted,False,False,True,True,True,True,False,True,False
55,D3_universal_elder_digital_access,50,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
55,D4_limited_community_phone_25pct,38,elder_baseline_digital,True,True,True,True,True,True,False,False,False
55,D4_limited_community_phone_25pct,39,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D4_limited_community_phone_25pct,40,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
55,D4_limited_community_phone_25pct,41,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D4_limited_community_phone_25pct,42,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D4_limited_community_phone_25pct,43,elder_baseline_nondigital_unassisted,True,False,False,True,False,False,False,False,False
55,D4_limited_community_phone_25pct,44,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
55,D4_limited_community_phone_25pct,45,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
55,D4_limited_community_phone_25pct,46,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D4_limited_community_phone_25pct,47,elder_baseline_digital,True,True,False,True,True,False,False,False,False
55,D4_limited_community_phone_25pct,48,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
55,D4_limited_community_phone_25pct,49,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
55,D4_limited_community_phone_25pct,50,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D0_baseline,38,elder_baseline_nondigital_unassisted,False,False,False,False,False,False,False,False,False
56,D0_baseline,39,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D0_baseline,40,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D0_baseline,41,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D0_baseline,42,elder_baseline_nondigital_unassisted,True,False,False,True,False,False,False,False,False
56,D0_baseline,43,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D0_baseline,44,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D0_baseline,45,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D0_baseline,46,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
56,D0_baseline,47,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D0_baseline,48,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D0_baseline,49,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D0_baseline,50,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D1_targeted_digital_training_75pct,38,elder_baseline_nondigital_unassisted,False,False,False,False,False,False,False,False,False
56,D1_targeted_digital_training_75pct,39,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D1_targeted_digital_training_75pct,40,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D1_targeted_digital_training_75pct,41,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D1_targeted_digital_training_75pct,42,elder_baseline_nondigital_unassisted,True,False,False,True,True,False,False,True,False
56,D1_targeted_digital_training_75pct,43,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D1_targeted_digital_training_75pct,44,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D1_targeted_digital_training_75pct,45,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D1_targeted_digital_training_75pct,46,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
56,D1_targeted_digital_training_75pct,47,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D1_targeted_digital_training_75pct,48,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D1_targeted_digital_training_75pct,49,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D1_targeted_digital_training_75pct,50,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D2_family_assistance_90pct,38,elder_baseline_nondigital_unassisted,False,False,False,False,False,True,False,False,True
56,D2_family_assistance_90pct,39,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D2_family_assistance_90pct,40,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D2_family_assistance_90pct,41,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D2_family_assistance_90pct,42,elder_baseline_nondigital_unassisted,True,False,False,True,False,True,False,False,True
56,D2_family_assistance_90pct,43,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D2_family_assistance_90pct,44,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D2_family_assistance_90pct,45,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D2_family_assistance_90pct,46,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
56,D2_family_assistance_90pct,47,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D2_family_assistance_90pct,48,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D2_family_assistance_90pct,49,elder_baseline_digital,True,True,False,True,True,True,False,False,True
56,D2_family_assistance_90pct,50,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D3_universal_elder_digital_access,38,elder_baseline_nondigital_unassisted,False,False,False,True,True,False,False,True,False
56,D3_universal_elder_digital_access,39,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D3_universal_elder_digital_access,40,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D3_universal_elder_digital_access,41,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D3_universal_elder_digital_access,42,elder_baseline_nondigital_unassisted,True,False,False,True,True,False,False,True,False
56,D3_universal_elder_digital_access,43,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D3_universal_elder_digital_access,44,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D3_universal_elder_digital_access,45,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D3_universal_elder_digital_access,46,elder_baseline_nondigital_assisted,False,False,True,True,True,True,False,True,False
56,D3_universal_elder_digital_access,47,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D3_universal_elder_digital_access,48,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D3_universal_elder_digital_access,49,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D3_universal_elder_digital_access,50,elder_baseline_nondigital_assisted,True,False,True,True,True,True,False,True,False
56,D4_limited_community_phone_25pct,38,elder_baseline_nondigital_unassisted,False,False,False,False,False,False,False,False,False
56,D4_limited_community_phone_25pct,39,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D4_limited_community_phone_25pct,40,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D4_limited_community_phone_25pct,41,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D4_limited_community_phone_25pct,42,elder_baseline_nondigital_unassisted,True,False,False,True,False,False,False,False,False
56,D4_limited_community_phone_25pct,43,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D4_limited_community_phone_25pct,44,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D4_limited_community_phone_25pct,45,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D4_limited_community_phone_25pct,46,elder_baseline_nondigital_assisted,False,False,True,False,False,True,False,False,False
56,D4_limited_community_phone_25pct,47,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
56,D4_limited_community_phone_25pct,48,elder_baseline_digital,True,True,True,True,True,True,False,False,False
56,D4_limited_community_phone_25pct,49,elder_baseline_digital,True,True,False,True,True,False,False,False,False
56,D4_limited_community_phone_25pct,50,elder_baseline_nondigital_assisted,True,False,True,True,False,True,False,False,False
